trt;block;water;N;drymatter;greenfly;infected
A;I;21,33;5,14;21,07;15;0
A;I;19,79;3,64;22,44;17;0
A;I;23,05;5,56;19,69;10;0
A;I;15,66;5,55;21,64;12;0
A;II;18,69;NA;21,55;10;0
A;II;24,14;5,18;22,82;14;0
A;II;16,87;NA;23,05;12;0
A;II;14,88;5,46;22,18;20;0
A;III;20,54;3,89;22,51;15;0
A;III;12,07;3,66;23,14;18;1
A;III;25,10;6,89;20,93;16;0
A;III;8,19;3,76;22,02;15;1
A;IV;NA;4,49;23,23;18;0
A;IV;21,39;3,91;23,60;17;0
A;IV;19,59;4,60;21,98;15;1
A;IV;12,77;4,44;20,81;18;0
B;I;22,23;5,49;21,41;12;0
B;I;13,00;4,46;23,31;12;1
B;I;16,54;6,52;22,80;11;1
B;I;20,77;NA;22,98;12;1
B;II;24,75;3,91;23,48;13;0
B;II;25,81;4,69;24,38;12;0
B;II;26,55;6,56;21,16;13;1
B;II;28,74;4,94;22,79;15;0
B;III;15,90;5,44;23,26;15;1
B;III;NA;5,37;23,42;14;1
B;III;20,59;4,55;23,17;13;1
B;III;20,06;2,58;24,14;20;1
B;IV;22,82;3,96;23,26;19;0
B;IV;24,15;NA;23,40;15;0
B;IV;24,79;6,37;23,31;12;1
B;IV;22,07;3,99;23,98;14;1
C;I;15,24;6,34;23,24;6;1
C;I;25,61;2,59;24,32;11;0
C;I;23,19;5,01;22,46;12;0
C;I;17,55;6,92;23,10;12;1
C;II;18,21;6,20;24,88;10;1
C;II;10,44;7,26;25,22;12;1
C;II;16,85;NA;24,19;13;1
C;II;18,23;5,06;25,41;14;1
C;III;17,67;6,80;25,34;11;1
C;III;18,45;3,27;24,07;16;1
C;III;22,11;4,72;24,31;13;1
C;III;19,97;5,03;26,80;15;1
C;IV;26,13;NA;24,39;11;1
C;IV;15,97;5,20;26,22;11;1
C;IV;20,41;4,40;24,20;16;1
C;IV;28,63;6,58;23,83;12;1
D;I;25,76;4,66;24,90;11;1
D;I;19,07;5,91;23,57;10;1
D;I;27,70;4,62;25,33;7;1
D;I;23,61;5,02;23,88;11;1
D;II;19,66;4,47;24,63;7;1
D;II;19,10;4,30;25,75;12;1
D;II;15,46;4,72;25,42;10;1
D;II;13,69;5,41;25,33;11;1
D;III;31,26;7,50;25,24;12;1
D;III;20,70;4,18;26,03;9;1
D;III;21,41;6,94;28,80;13;1
D;III;23,80;6,52;24,02;10;1
D;IV;15,50;4,44;27,05;9;1
D;IV;NA;3,97;26,25;13;1
D;IV;18,86;4,85;26,07;10;1
D;IV;28,13;4,76;25,41;12;1
