trt;block;water;N;drymatter;greenfly;infected
A;I;20,61;4,39;21,47;16;0
A;I;22,48;4,46;20,16;16;0
A;I;33,24;6,05;21,10;11;0
A;I;7,83;4,96;20,80;16;1
A;II;20,66;4,10;19,48;16;0
A;II;15,17;NA;20,64;11;0
A;II;18,96;4,66;20,54;16;0
A;II;16,10;4,28;21,43;15;0
A;III;26,50;4,84;21,96;16;0
A;III;20,28;6,41;20,83;15;1
A;III;18,99;5,78;23,44;17;1
A;III;10,35;5,87;22,97;12;1
A;IV;17,28;NA;22,07;15;1
A;IV;12,71;7,26;25,44;11;1
A;IV;6,06;4,95;24,14;16;1
A;IV;23,76;4,64;23,30;16;0
B;I;24,68;5,17;21,67;10;1
B;I;17,81;4,12;21,25;11;0
B;I;26,68;5,22;21,67;14;0
B;I;18,75;5,45;23,79;12;1
B;II;11,16;6,26;23,09;12;1
B;II;NA;5,11;22,87;14;1
B;II;25,49;4,15;22,72;12;0
B;II;24,74;4,54;21,67;10;0
B;III;20,00;5,06;22,51;15;1
B;III;20,84;5,50;24,06;11;1
B;III;26,74;4,10;23,78;13;0
B;III;26,03;3,83;23,79;16;0
B;IV;NA;6,70;24,65;14;1
B;IV;24,70;4,60;22,92;14;1
B;IV;14,35;4,79;24,98;12;1
B;IV;17,80;5,26;25,82;12;1
C;I;22,75;5,87;22,44;12;1
C;I;20,52;7,52;24,82;12;1
C;I;21,49;5,33;23,06;11;1
C;I;18,44;NA;23,43;12;1
C;II;18,05;3,88;24,98;10;1
C;II;12,24;6,54;25,12;12;1
C;II;16,53;3,58;23,83;10;1
C;II;21,06;NA;24,95;12;1
C;III;24,44;3,86;21,89;12;1
C;III;17,81;2,61;25,32;9;1
C;III;24,79;6,50;25,36;13;1
C;III;20,95;NA;24,44;11;1
C;IV;20,79;5,09;24,36;12;1
C;IV;18,99;4,75;25,77;9;0
C;IV;11,76;4,41;25,14;10;1
C;IV;19,45;6,87;26,76;11;1
D;I;20,32;5,09;25,67;9;1
D;I;19,65;4,83;23,52;9;1
D;I;10,00;4,54;26,69;6;1
D;I;16,04;3,93;24,66;10;1
D;II;NA;4,74;24,57;7;1
D;II;17,73;6,43;26,49;9;1
D;II;19,40;4,79;24,17;11;1
D;II;30,54;6,67;24,76;11;1
D;III;16,95;5,35;25,51;14;1
D;III;10,49;5,27;27,48;9;1
D;III;21,25;5,33;26,14;12;1
D;III;24,83;5,92;26,00;13;1
D;IV;19,58;NA;25,86;11;1
D;IV;18,64;4,05;24,05;14;1
D;IV;23,95;5,12;25,19;9;1
D;IV;24,44;3,48;26,57;12;1
