trt;block;water;N;drymatter;greenfly;infected
A;I;12,11;5,53;22,02;12;1
A;I;14,13;5,57;22,17;13;0
A;I;25,45;3,69;21,20;19;0
A;II;12,35;4,28;21,92;12;0
A;II;13,18;7,20;22,07;14;1
A;II;18,26;5,64;22,47;11;0
A;III;28,78;5,19;20,98;16;0
A;III;24,53;5,93;21,43;16;0
A;III;10,63;5,51;21,90;12;1
A;IV;16,98;4,90;25,31;16;1
A;IV;12,28;5,11;20,80;13;1
A;IV;24,62;4,65;23,17;18;0
B;I;24,81;4,27;22,17;12;0
B;I;25,50;5,26;21,31;11;0
B;I;19,66;5,88;24,55;11;1
B;II;25,14;3,57;22,30;13;0
B;II;24,39;4,86;23,24;12;0
B;II;29,18;7,13;20,60;13;0
B;III;13,38;4,28;22,38;13;1
B;III;27,12;6,50;23,37;15;1
B;III;6,98;7,72;23,67;9;1
B;IV;22,73;5,34;25,58;14;1
B;IV;15,58;6,13;23,63;13;1
B;IV;20,64;5,20;25,41;13;1
C;I;18,09;5,49;23,54;13;1
C;I;17,79;6,05;21,89;9;1
C;I;28,01;5,97;24,09;9;1
C;II;10,89;5,47;24,75;9;1
C;II;18,97;4,69;24,17;9;1
C;II;23,75;5,02;25,21;9;1
C;III;21,04;6,73;24,39;13;1
C;III;18,34;4,00;26,78;12;1
C;III;16,46;4,05;24,28;10;1
C;IV;12,38;4,17;25,11;10;1
C;IV;19,10;6,15;24,69;11;1
C;IV;19,89;4,65;27,31;12;1
D;I;17,69;5,47;26,47;9;1
D;I;21,04;5,59;24,21;12;1
D;I;14,99;3,51;25,62;8;1
D;II;21,27;6,66;26,21;10;1
D;II;27,41;5,22;25,86;9;1
D;II;17,79;2,98;24,58;11;0
D;III;22,22;6,19;25,88;9;1
D;III;19,74;2,19;25,24;9;1
D;III;10,62;4,16;27,56;7;1
D;IV;13,37;4,25;25,00;14;1
D;IV;22,04;5,16;28,94;7;1
D;IV;18,65;5,71;26,76;11;1
